"Active","Activo"
"Add","Agregar"
"Date","Fecha"
"Date Created","Fecha de Creación"
"Delete","Eliminar"
"Description","Descripción"
"Edit","Editar"
"Export","Exportar"
"Language","Idioma"
"Login","Ingresar"
"Modules","Módulos"
"Name","Nombre"
"Password","Contraseña"
"Products","Productos"
"Save","Guardar"
"Search","Buscar"
"User","Usuario"
"Value","Valor"

"Are you sure you want to delete this record?","Seguro desea eliminar este registro?"

"January","Enero"
"February","Febrero"
"March","Marzo"
"April","Abril"
"May","Mayo"
"June","Junio"
"July","Julio"
"August","Agosto"
"September","Septiembre"
"October","Octubre"
"November","Noviembre"
"December","Diciembre"
"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Miércoles"
"Thursday","Jueves"
"Friday","Viernes"
"Saturday","Sábado"
"Sunday","Domingo"
